A,B,C,D,E
0.000000E+00,-5.524429E+02,-1.283903E-01, 0.000000E+00, 1.000000E-02
3.699247E-06,-3.857886E+02,-1.283512E-01, 0.000000E+00, 2.000000E-02
3.360438E-05,-2.191350E+02,-1.283104E-01, 0.000000E+00, 3.000000E-02
1.412193E-04,-5.248171E+01,-1.282698E-01, 0.000000E+00, 4.000000E-02
4.080855E-04, 1.141719E+02,-1.282311E-01, 0.000000E+00, 5.000000E-02
9.388978E-04, 2.808263E+02,-1.281963E-01, 1.185935E-05, 6.000000E-02
1.847798E-03, 4.474820E+02,-1.281671E-01, 2.294092E-05, 7.000000E-02
3.239843E-03, 6.141394E+02,-1.281444E-01, 3.940818E-05, 8.000000E-02
5.190870E-03, 7.807984E+02,-1.281287E-01, 6.172600E-05, 9.000000E-02
7.729667E-03, 9.474591E+02,-1.281194E-01, 8.964928E-05, 1.000000E-01
1.082606E-02, 1.114121E+03,-1.281157E-01, 1.221094E-04, 1.100000E-01
1.441735E-02, 1.280784E+03,-1.281167E-01, 1.576589E-04, 1.200000E-01
1.844282E-02, 1.447448E+03,-1.281213E-01, 1.949052E-04, 1.300000E-01
2.284385E-02, 1.614112E+03,-1.281290E-01, 2.324629E-04, 1.400000E-01
2.756301E-02, 1.780777E+03,-1.281393E-01, 2.690138E-04, 1.500000E-01
3.254511E-02, 1.947442E+03,-1.281516E-01, 3.033393E-04, 1.600000E-01
3.773810E-02, 2.114108E+03,-1.281657E-01, 3.343451E-04, 1.700000E-01
4.309381E-02, 2.280773E+03,-1.281813E-01, 3.610802E-04, 1.800000E-01
4.856845E-02, 2.447439E+03,-1.281981E-01, 3.827522E-04, 1.900000E-01
5.412305E-02, 2.614105E+03,-1.282159E-01, 3.987373E-04, 2.000000E-01
5.972369E-02, 2.780771E+03,-1.282346E-01, 4.085857E-04, 2.100000E-01
6.534159E-02, 2.947437E+03,-1.282540E-01, 4.120235E-04, 2.200000E-01
7.095316E-02, 3.114103E+03,-1.282740E-01, 4.089500E-04, 2.300000E-01
7.653987E-02, 3.280769E+03,-1.282944E-01, 3.994308E-04, 2.400000E-01
8.208807E-02, 3.447435E+03,-1.283152E-01, 3.836887E-04, 2.500000E-01
8.758872E-02, 3.614102E+03,-1.283361E-01, 3.620907E-04, 2.600000E-01
9.303706E-02, 3.780768E+03,-1.283572E-01, 3.351323E-04, 2.700000E-01
9.843226E-02, 3.947434E+03,-1.283782E-01, 3.034211E-04, 2.800000E-01
1.037770E-01, 4.114100E+03,-1.283992E-01, 2.676573E-04, 2.900000E-01
1.090769E-01, 4.280766E+03,-1.284200E-01, 2.286144E-04, 3.000000E-01
1.143405E-01, 4.447433E+03,-1.284405E-01, 1.871189E-04, 3.100000E-01
1.195783E-01, 4.614099E+03,-1.284607E-01, 1.440298E-04, 3.200000E-01
1.248024E-01, 4.780765E+03,-1.284804E-01, 1.002185E-04, 3.300000E-01
1.300264E-01, 4.947431E+03,-1.284997E-01, 5.654987E-05, 3.400000E-01
1.352648E-01, 5.114098E+03,-1.285183E-01, 1.386377E-05, 3.500000E-01
1.405323E-01, 5.280764E+03,-1.285363E-01,-2.704057E-05, 3.600000E-01
1.458440E-01, 5.447430E+03,-1.285535E-01,-6.542410E-05, 3.700000E-01
1.512147E-01, 5.614096E+03,-1.285700E-01,-1.006145E-04, 3.800000E-01
1.566586E-01, 5.780763E+03,-1.285857E-01,-1.320220E-04, 3.900000E-01
1.621892E-01, 5.947429E+03,-1.286005E-01,-1.591470E-04, 4.000000E-01
1.678190E-01, 6.114095E+03,-1.286143E-01,-1.815873E-04, 4.100000E-01
1.735593E-01, 6.280761E+03,-1.286271E-01,-1.990426E-04, 4.200000E-01
1.794201E-01, 6.447428E+03,-1.286389E-01,-2.113169E-04, 4.300000E-01
1.854100E-01, 6.614094E+03,-1.286497E-01,-2.183187E-04, 4.400000E-01
1.915362E-01, 6.780760E+03,-1.286594E-01,-2.200594E-04, 4.500000E-01
1.978041E-01, 6.947426E+03,-1.286680E-01,-2.166494E-04, 4.600000E-01
2.042177E-01, 7.114093E+03,-1.286754E-01,-2.082931E-04, 4.700000E-01
2.107796E-01, 7.280759E+03,-1.286817E-01,-1.952811E-04, 4.800000E-01
2.174908E-01, 7.447425E+03,-1.286868E-01,-1.779829E-04, 4.900000E-01
2.243507E-01, 7.614092E+03,-1.286908E-01,-1.568364E-04, 5.000000E-01
2.313577E-01, 7.780758E+03,-1.286936E-01,-1.323383E-04, 5.100000E-01
2.385087E-01, 7.947424E+03,-1.286953E-01,-1.050327E-04, 5.200000E-01
2.457996E-01, 8.114090E+03,-1.286958E-01,-7.549926E-05, 5.300000E-01
2.532253E-01, 8.280757E+03,-1.286951E-01,-4.434185E-05, 5.400000E-01
2.607796E-01, 8.447423E+03,-1.286933E-01,-1.217662E-05, 5.500000E-01
2.684557E-01, 8.614089E+03,-1.286905E-01, 2.037836E-05, 5.600000E-01
2.762463E-01, 8.780756E+03,-1.286866E-01, 5.271874E-05, 5.700000E-01
2.841434E-01, 8.947422E+03,-1.286816E-01, 8.425755E-05, 5.800000E-01
2.921386E-01, 9.114088E+03,-1.286756E-01, 1.144395E-04, 5.900000E-01
3.002233E-01, 9.280754E+03,-1.286687E-01, 1.427487E-04, 6.000000E-01
3.083889E-01, 9.447421E+03,-1.286608E-01, 1.687161E-04, 6.100000E-01
3.166265E-01, 9.614087E+03,-1.286520E-01, 1.919268E-04, 6.200000E-01
3.249275E-01, 9.780753E+03,-1.286425E-01, 2.120249E-04, 6.300000E-01
3.332832E-01, 9.947420E+03,-1.286321E-01, 2.287178E-04, 6.400000E-01
3.416853E-01, 1.011409E+04,-1.286210E-01, 2.417796E-04, 6.500000E-01
3.501257E-01, 1.028075E+04,-1.286092E-01, 2.510524E-04, 6.600000E-01
3.585966E-01, 1.044742E+04,-1.285968E-01, 2.564467E-04, 6.700000E-01
3.670907E-01, 1.061408E+04,-1.285839E-01, 2.579411E-04, 6.800000E-01
3.756011E-01, 1.078075E+04,-1.285705E-01, 2.555798E-04, 6.900000E-01
3.841212E-01, 1.094742E+04,-1.285566E-01, 2.494702E-04, 7.000000E-01
3.926450E-01, 1.111408E+04,-1.285424E-01, 2.397787E-04, 7.100000E-01
4.011669E-01, 1.128075E+04,-1.285279E-01, 2.267258E-04, 7.200000E-01
4.096819E-01, 1.144742E+04,-1.285131E-01, 2.105808E-04, 7.300000E-01
4.181852E-01, 1.161408E+04,-1.284982E-01, 1.916556E-04, 7.400000E-01
4.266726E-01, 1.178075E+04,-1.284831E-01, 1.702981E-04, 7.500000E-01
4.351404E-01, 1.194742E+04,-1.284680E-01, 1.468848E-04, 7.600000E-01
4.435850E-01, 1.211408E+04,-1.284529E-01, 1.218142E-04, 7.700000E-01
4.520036E-01, 1.228075E+04,-1.284379E-01, 9.549911E-05, 7.800000E-01
4.603933E-01, 1.244741E+04,-1.284231E-01, 6.835933E-05, 7.900000E-01
4.687518E-01, 1.261408E+04,-1.284084E-01, 4.081464E-05, 8.000000E-01
4.770769E-01, 1.278075E+04,-1.283940E-01, 1.327784E-05, 8.100000E-01
4.853667E-01, 1.294741E+04,-1.283799E-01,-1.385061E-05, 8.200000E-01
4.936195E-01, 1.311408E+04,-1.283662E-01,-4.019313E-05, 8.300000E-01
5.018337E-01, 1.328075E+04,-1.283529E-01,-6.539378E-05, 8.400000E-01
5.100080E-01, 1.344741E+04,-1.283400E-01,-8.912767E-05, 8.500000E-01
5.181408E-01, 1.361408E+04,-1.283277E-01,-1.111040E-04, 8.600000E-01
5.262311E-01, 1.378075E+04,-1.283159E-01,-1.310696E-04, 8.700000E-01
5.342775E-01, 1.394741E+04,-1.283048E-01,-1.488116E-04, 8.800000E-01
5.422788E-01, 1.411408E+04,-1.282942E-01,-1.641597E-04, 8.900000E-01
5.502337E-01, 1.428074E+04,-1.282844E-01,-1.769869E-04, 9.000000E-01
5.581411E-01, 1.444741E+04,-1.282752E-01,-1.872105E-04, 9.100000E-01
