A,B
2.405235E+02, 0.000000E+00
2.405235E+02, 0.000000E+00
2.405235E+02, 0.000000E+00
2.405236E+02, 0.000000E+00
2.405237E+02, 0.000000E+00
2.405237E+02,-9.604813E-06
2.405238E+02,-1.972003E-05
2.405239E+02,-3.588337E-05
2.405239E+02,-5.948656E-05
2.405240E+02,-9.149632E-05
2.405240E+02,-1.322494E-04
2.405240E+02,-1.815581E-04
2.405240E+02,-2.390749E-04
2.405240E+02,-3.043950E-04
2.405240E+02,-3.769936E-04
2.405240E+02,-4.562435E-04
2.405239E+02,-5.414358E-04
2.405238E+02,-6.317992E-04
2.405238E+02,-7.265190E-04
2.405237E+02,-8.247548E-04
2.405236E+02,-9.256576E-04
2.405236E+02,-1.028385E-03
2.405235E+02,-1.132114E-03
2.405235E+02,-1.236055E-03
2.405234E+02,-1.339463E-03
2.405234E+02,-1.441643E-03
2.405234E+02,-1.541961E-03
2.405233E+02,-1.639847E-03
2.405233E+02,-1.734802E-03
2.405233E+02,-1.826397E-03
2.405234E+02,-1.914275E-03
2.405234E+02,-1.998152E-03
2.405234E+02,-2.077815E-03
2.405235E+02,-2.153118E-03
2.405235E+02,-2.223979E-03
2.405236E+02,-2.290377E-03
2.405236E+02,-2.352347E-03
2.405237E+02,-2.409970E-03
2.405237E+02,-2.463375E-03
2.405237E+02,-2.512725E-03
2.405238E+02,-2.558217E-03
2.405238E+02,-2.600072E-03
2.405239E+02,-2.638529E-03
2.405239E+02,-2.673842E-03
2.405239E+02,-2.706271E-03
2.405239E+02,-2.736081E-03
2.405240E+02,-2.763531E-03
2.405240E+02,-2.788876E-03
2.405240E+02,-2.812360E-03
2.405240E+02,-2.834210E-03
2.405240E+02,-2.854640E-03
2.405240E+02,-2.873843E-03
2.405239E+02,-2.891992E-03
2.405239E+02,-2.909237E-03
2.405239E+02,-2.925706E-03
2.405239E+02,-2.941504E-03
2.405239E+02,-2.956713E-03
2.405238E+02,-2.971393E-03
2.405238E+02,-2.985582E-03
2.405238E+02,-2.999301E-03
2.405238E+02,-3.012547E-03
2.405238E+02,-3.025306E-03
2.405237E+02,-3.037546E-03
2.405237E+02,-3.049222E-03
2.405237E+02,-3.060280E-03
2.405237E+02,-3.070656E-03
2.405237E+02,-3.080280E-03
2.405237E+02,-3.089078E-03
2.405236E+02,-3.096972E-03
2.405236E+02,-3.103887E-03
2.405236E+02,-3.109747E-03
2.405236E+02,-3.114477E-03
2.405236E+02,-3.118012E-03
2.405236E+02,-3.120287E-03
2.405236E+02,-3.121247E-03
2.405236E+02,-3.120844E-03
2.405235E+02,-3.119040E-03
2.405235E+02,-3.115803E-03
2.405235E+02,-3.111113E-03
2.405235E+02,-3.104957E-03
2.405235E+02,-3.097334E-03
2.405235E+02,-3.088251E-03
2.405235E+02,-3.077722E-03
2.405235E+02,-3.065771E-03
2.405234E+02,-3.052431E-03
2.405234E+02,-3.037740E-03
2.405234E+02,-3.021743E-03
2.405234E+02,-3.004489E-03
2.405234E+02,-2.986034E-03
2.405234E+02,-2.966435E-03
2.405234E+02,-2.945753E-03
2.405234E+02,-2.924051E-03
2.405234E+02,-2.901391E-03
2.405234E+02,-2.877837E-03
2.405233E+02,-2.853451E-03
2.405233E+02,-2.828293E-03
2.405233E+02,-2.802422E-03
2.405233E+02,-2.775893E-03
2.405233E+02,-2.748758E-03
2.405233E+02,-2.721064E-03
2.405233E+02,-2.692856E-03
2.405233E+02,-2.664172E-03
2.405233E+02,-2.635048E-03
2.405233E+02,-2.605512E-03
2.405233E+02,-2.575590E-03
2.405234E+02,-2.545302E-03
2.405234E+02,-2.514663E-03
2.405234E+02,-2.483685E-03
2.405234E+02,-2.452376E-03
2.405234E+02,-2.420738E-03
2.405234E+02,-2.388773E-03
2.405234E+02,-2.356478E-03
2.405234E+02,-2.323847E-03
2.405234E+02,-2.290873E-03
2.405234E+02,-2.257548E-03
2.405234E+02,-2.223862E-03
2.405235E+02,-2.189804E-03
2.405235E+02,-2.155364E-03
2.405235E+02,-2.120531E-03
2.405235E+02,-2.085297E-03
2.405235E+02,-2.049652E-03
2.405235E+02,-2.013588E-03
2.405235E+02,-1.977101E-03
2.405235E+02,-1.940187E-03
2.405235E+02,-1.902843E-03
2.405236E+02,-1.865071E-03
2.405236E+02,-1.826875E-03
2.405236E+02,-1.788258E-03
2.405236E+02,-1.749230E-03
2.405236E+02,-1.709801E-03
2.405236E+02,-1.669985E-03
2.405236E+02,-1.629795E-03
2.405236E+02,-1.589250E-03
2.405236E+02,-1.548369E-03
2.405236E+02,-1.507174E-03
2.405237E+02,-1.465687E-03
2.405237E+02,-1.423932E-03
2.405237E+02,-1.381935E-03
2.405237E+02,-1.339721E-03
2.405237E+02,-1.297318E-03
2.405237E+02,-1.254753E-03
2.405237E+02,-1.212053E-03
2.405237E+02,-1.169244E-03
2.405237E+02,-1.126353E-03
2.405237E+02,-1.083406E-03
2.405237E+02,-1.040428E-03
2.405237E+02,-9.974429E-04
2.405237E+02,-9.544728E-04
2.405237E+02,-9.115394E-04
2.405237E+02,-8.686624E-04
2.405237E+02,-8.258600E-04
2.405237E+02,-7.831490E-04
2.405237E+02,-7.405443E-04
2.405237E+02,-6.980591E-04
2.405237E+02,-6.557052E-04
2.405237E+02,-6.134924E-04
2.405237E+02,-5.714293E-04
2.405237E+02,-5.295228E-04
2.405237E+02,-4.877786E-04
2.405237E+02,-4.462011E-04
2.405237E+02,-4.047933E-04
2.405236E+02,-3.635577E-04
2.405236E+02,-3.224955E-04
2.405236E+02,-2.816075E-04
2.405236E+02,-2.408938E-04
2.405236E+02,-2.003542E-04
2.405236E+02,-1.599883E-04
2.405236E+02,-1.197955E-04
2.405236E+02,-7.977551E-05
2.405236E+02,-3.992796E-05
2.405236E+02, 0.000000E+00
2.405236E+02, 3.924788E-05
2.405236E+02, 7.857573E-05
2.405235E+02, 1.177278E-04
2.405235E+02, 1.567018E-04
2.405235E+02, 1.954946E-04
2.405235E+02, 2.341024E-04
2.405235E+02, 2.725205E-04
2.405235E+02, 3.107434E-04
2.405235E+02, 3.487650E-04
2.405235E+02, 3.865781E-04
2.405235E+02, 4.241750E-04
2.405235E+02, 4.615472E-04
2.405235E+02, 4.986856E-04
2.405235E+02, 5.355807E-04
2.405235E+02, 5.722221E-04
2.405235E+02, 6.085994E-04
2.405235E+02, 6.447017E-04
2.405235E+02, 6.805178E-04
2.405234E+02, 7.160364E-04
2.405234E+02, 7.512464E-04
2.405234E+02, 7.861363E-04
2.405234E+02, 8.206951E-04
2.405234E+02, 8.549119E-04
2.405234E+02, 8.887759E-04
2.405234E+02, 9.222770E-04
2.405234E+02, 9.554052E-04
2.405234E+02, 9.881513E-04
2.405234E+02, 1.020507E-03
2.405234E+02, 1.052463E-03
2.405234E+02, 1.084012E-03
2.405234E+02, 1.115147E-03
2.405234E+02, 1.145863E-03
2.405234E+02, 1.176152E-03
2.405234E+02, 1.206011E-03
2.405235E+02, 1.235435E-03
2.405235E+02, 1.264419E-03
2.405235E+02, 1.292962E-03
2.405235E+02, 1.321060E-03
2.405235E+02, 1.348711E-03
2.405235E+02, 1.375913E-03
2.405235E+02, 1.402665E-03
2.405235E+02, 1.428966E-03
2.405235E+02, 1.454816E-03
2.405235E+02, 1.480214E-03
2.405235E+02, 1.505161E-03
2.405235E+02, 1.529655E-03
2.405235E+02, 1.553697E-03
2.405235E+02, 1.577287E-03
2.405235E+02, 1.600425E-03
2.405235E+02, 1.623111E-03
2.405235E+02, 1.645344E-03
2.405235E+02, 1.667126E-03
2.405235E+02, 1.688454E-03
2.405236E+02, 1.709329E-03
2.405236E+02, 1.729749E-03
2.405236E+02, 1.749713E-03
2.405236E+02, 1.769219E-03
2.405236E+02, 1.788267E-03
2.405236E+02, 1.806854E-03
2.405236E+02, 1.824977E-03
2.405236E+02, 1.842635E-03
2.405236E+02, 1.859824E-03
2.405236E+02, 1.876542E-03
2.405236E+02, 1.892785E-03
2.405236E+02, 1.908550E-03
2.405236E+02, 1.923835E-03
2.405236E+02, 1.938634E-03
2.405236E+02, 1.952946E-03
2.405236E+02, 1.966765E-03
2.405236E+02, 1.980089E-03
2.405236E+02, 1.992914E-03
2.405236E+02, 2.005236E-03
2.405236E+02, 2.017052E-03
2.405236E+02, 2.028358E-03
2.405236E+02, 2.039151E-03
2.405236E+02, 2.049429E-03
2.405236E+02, 2.059188E-03
2.405236E+02, 2.068426E-03
2.405236E+02, 2.077140E-03
2.405236E+02, 2.085328E-03
2.405236E+02, 2.092988E-03
2.405236E+02, 2.100119E-03
2.405236E+02, 2.106719E-03
2.405236E+02, 2.112787E-03
2.405236E+02, 2.118321E-03
2.405236E+02, 2.123322E-03
2.405236E+02, 2.127789E-03
2.405236E+02, 2.131721E-03
2.405236E+02, 2.135119E-03
2.405236E+02, 2.137982E-03
2.405236E+02, 2.140312E-03
2.405236E+02, 2.142107E-03
2.405236E+02, 2.143370E-03
2.405236E+02, 2.144100E-03
2.405236E+02, 2.144298E-03
2.405236E+02, 2.143966E-03
2.405236E+02, 2.143104E-03
2.405236E+02, 2.141713E-03
