A,B,C,D,E
0.000000E+00,-5.552203E+02,-1.241915E-01,0.000000E+00,1.000000E-02
0.000000E+00,-3.913431E+02,-1.241543E-01,0.000000E+00,2.000000E-02
0.000000E+00,-2.274666E+02,-1.241157E-01,0.000000E+00,3.000000E-02
0.000000E+00,-6.359030E+01,-1.240774E-01,0.000000E+00,4.000000E-02
0.000000E+00,1.002863E+02,-1.240412E-01,0.000000E+00,5.000000E-02
0.000000E+00,2.641638E+02,-1.240088E-01,0.000000E+00,6.000000E-02
0.000000E+00,4.280426E+02,-1.239818E-01,0.000000E+00,7.000000E-02
0.000000E+00,5.919229E+02,-1.239611E-01,0.000000E+00,8.000000E-02
0.000000E+00,7.558048E+02,-1.239468E-01,0.000000E+00,9.000000E-02
0.000000E+00,9.196883E+02,-1.239387E-01,0.000000E+00,1.000000E-01
0.000000E+00,1.083573E+03,-1.239359E-01,0.000000E+00,1.100000E-01
0.000000E+00,1.247459E+03,-1.239373E-01,0.000000E+00,1.200000E-01
0.000000E+00,1.411345E+03,-1.239422E-01,0.000000E+00,1.300000E-01
0.000000E+00,1.575232E+03,-1.239499E-01,0.000000E+00,1.400000E-01
-1.226726E-07,1.739119E+03,-1.239599E-01,0.000000E+00,1.500000E-01
-1.504711E-07,1.903007E+03,-1.239719E-01,0.000000E+00,1.600000E-01
-1.804195E-07,2.066895E+03,-1.239854E-01,0.000000E+00,1.700000E-01
-2.122330E-07,2.230783E+03,-1.240004E-01,0.000000E+00,1.800000E-01
-2.456208E-07,2.394671E+03,-1.240164E-01,0.000000E+00,1.900000E-01
-2.802892E-07,2.558559E+03,-1.240334E-01,0.000000E+00,2.000000E-01
-3.159502E-07,2.722448E+03,-1.240511E-01,0.000000E+00,2.100000E-01
-3.523222E-07,2.886336E+03,-1.240695E-01,0.000000E+00,2.200000E-01
-3.891362E-07,3.050224E+03,-1.240884E-01,0.000000E+00,2.300000E-01
-4.261352E-07,3.214113E+03,-1.241077E-01,0.000000E+00,2.400000E-01
-4.630792E-07,3.378001E+03,-1.241273E-01,0.000000E+00,2.500000E-01
-4.997434E-07,3.541890E+03,-1.241470E-01,0.000000E+00,2.600000E-01
-5.359218E-07,3.705779E+03,-1.241668E-01,0.000000E+00,2.700000E-01
-5.714244E-07,3.869667E+03,-1.241865E-01,0.000000E+00,2.800000E-01
-6.060815E-07,4.033556E+03,-1.242062E-01,0.000000E+00,2.900000E-01
-6.397396E-07,4.197444E+03,-1.242257E-01,0.000000E+00,3.000000E-01
-6.722647E-07,4.361333E+03,-1.242449E-01,0.000000E+00,3.100000E-01
-7.035379E-07,4.525221E+03,-1.242637E-01,0.000000E+00,3.200000E-01
-7.334597E-07,4.689110E+03,-1.242821E-01,0.000000E+00,3.300000E-01
-7.619447E-07,4.852999E+03,-1.243000E-01,0.000000E+00,3.400000E-01
-7.889247E-07,5.016887E+03,-1.243173E-01,0.000000E+00,3.500000E-01
-8.143443E-07,5.180776E+03,-1.243340E-01,0.000000E+00,3.600000E-01
