A,B
2.407241E+02,0.000000E+00
2.407241E+02,0.000000E+00
2.407242E+02,0.000000E+00
2.407242E+02,0.000000E+00
2.407243E+02,0.000000E+00
2.407243E+02,0.000000E+00
2.407244E+02,0.000000E+00
2.407245E+02,0.000000E+00
2.407245E+02,0.000000E+00
2.407246E+02,0.000000E+00
2.407246E+02,0.000000E+00
2.407246E+02,0.000000E+00
2.407246E+02,0.000000E+00
2.407246E+02,0.000000E+00
2.407246E+02,0.000000E+00
2.407245E+02,0.000000E+00
2.407245E+02,0.000000E+00
2.407244E+02,0.000000E+00
2.407244E+02,0.000000E+00
2.407243E+02,0.000000E+00
2.407242E+02,0.000000E+00
2.407242E+02,0.000000E+00
2.407241E+02,0.000000E+00
2.407241E+02,0.000000E+00
2.407240E+02,0.000000E+00
2.407240E+02,0.000000E+00
2.407240E+02,0.000000E+00
2.407240E+02,0.000000E+00
2.407240E+02,0.000000E+00
2.407240E+02,0.000000E+00
2.407240E+02,0.000000E+00
2.407240E+02,0.000000E+00
2.407241E+02,0.000000E+00
2.407241E+02,0.000000E+00
2.407241E+02,0.000000E+00
2.407242E+02,0.000000E+00
2.407242E+02,0.000000E+00
2.407243E+02,0.000000E+00
2.407243E+02,0.000000E+00
2.407244E+02,0.000000E+00
2.407244E+02,0.000000E+00
2.407244E+02,0.000000E+00
2.407245E+02,0.000000E+00
2.407245E+02,0.000000E+00
2.407245E+02,0.000000E+00
2.407245E+02,0.000000E+00
2.407245E+02,0.000000E+00
2.407246E+02,0.000000E+00
2.407246E+02,0.000000E+00
2.407246E+02,0.000000E+00
2.407245E+02,0.000000E+00
2.407245E+02,0.000000E+00
2.407245E+02,0.000000E+00
2.407245E+02,0.000000E+00
2.407245E+02,0.000000E+00
2.407245E+02,0.000000E+00
2.407245E+02,0.000000E+00
2.407244E+02,0.000000E+00
2.407244E+02,0.000000E+00
2.407244E+02,0.000000E+00
2.407244E+02,0.000000E+00
2.407244E+02,0.000000E+00
2.407243E+02,0.000000E+00
2.407243E+02,0.000000E+00
2.407243E+02,0.000000E+00
2.407243E+02,0.000000E+00
2.407243E+02,0.000000E+00
2.407243E+02,0.000000E+00
2.407242E+02,0.000000E+00
2.407242E+02,0.000000E+00
2.407242E+02,0.000000E+00
2.407242E+02,0.000000E+00
2.407242E+02,0.000000E+00
2.407242E+02,0.000000E+00
2.407242E+02,0.000000E+00
2.407242E+02,0.000000E+00
2.407242E+02,0.000000E+00
2.407241E+02,0.000000E+00
2.407241E+02,0.000000E+00
2.407241E+02,0.000000E+00
2.407241E+02,0.000000E+00
2.407241E+02,0.000000E+00
2.407241E+02,0.000000E+00
2.407241E+02,0.000000E+00
2.407241E+02,0.000000E+00
2.407240E+02,0.000000E+00
2.407240E+02,0.000000E+00
2.407240E+02,0.000000E+00
2.407240E+02,0.000000E+00
2.407240E+02,0.000000E+00
2.407240E+02,0.000000E+00
2.407240E+02,0.000000E+00
2.407240E+02,0.000000E+00
2.407240E+02,0.000000E+00
2.407240E+02,0.000000E+00
2.407240E+02,0.000000E+00
2.407240E+02,0.000000E+00
2.407240E+02,0.000000E+00
2.407240E+02,0.000000E+00
2.407240E+02,0.000000E+00
2.407240E+02,0.000000E+00
2.407240E+02,0.000000E+00
2.407240E+02,0.000000E+00
2.407240E+02,0.000000E+00
2.407240E+02,0.000000E+00
2.407240E+02,0.000000E+00
2.407240E+02,0.000000E+00
2.407240E+02,0.000000E+00
2.407240E+02,0.000000E+00
2.407240E+02,0.000000E+00
2.407240E+02,0.000000E+00
2.407240E+02,0.000000E+00
2.407240E+02,0.000000E+00
2.407240E+02,0.000000E+00
2.407241E+02,0.000000E+00
2.407241E+02,0.000000E+00
2.407241E+02,0.000000E+00
2.407241E+02,0.000000E+00
2.407241E+02,0.000000E+00
2.407241E+02,0.000000E+00
2.407241E+02,0.000000E+00
2.407241E+02,0.000000E+00
2.407241E+02,0.000000E+00
2.407242E+02,0.000000E+00
2.407242E+02,0.000000E+00
2.407242E+02,0.000000E+00
2.407242E+02,0.000000E+00
2.407242E+02,0.000000E+00
2.407242E+02,0.000000E+00
2.407242E+02,0.000000E+00
2.407242E+02,0.000000E+00
2.407242E+02,0.000000E+00
2.407242E+02,0.000000E+00
2.407243E+02,0.000000E+00
2.407243E+02,0.000000E+00
2.407243E+02,0.000000E+00
2.407243E+02,0.000000E+00
2.407243E+02,0.000000E+00
2.407243E+02,0.000000E+00
2.407243E+02,0.000000E+00
2.407243E+02,0.000000E+00
2.407243E+02,0.000000E+00
2.407243E+02,0.000000E+00
2.407243E+02,0.000000E+00
2.407243E+02,0.000000E+00
2.407243E+02,0.000000E+00
2.407243E+02,0.000000E+00
2.407243E+02,0.000000E+00
2.407243E+02,0.000000E+00
2.407243E+02,0.000000E+00
2.407243E+02,0.000000E+00
2.407243E+02,0.000000E+00
2.407243E+02,0.000000E+00
2.407243E+02,0.000000E+00
2.407243E+02,0.000000E+00
2.407243E+02,0.000000E+00
2.407243E+02,0.000000E+00
2.407243E+02,0.000000E+00
2.407243E+02,0.000000E+00
2.407243E+02,0.000000E+00
2.407243E+02,0.000000E+00
2.407243E+02,0.000000E+00
2.407242E+02,0.000000E+00
2.407242E+02,0.000000E+00
2.407242E+02,0.000000E+00
2.407242E+02,0.000000E+00
2.407242E+02,0.000000E+00
2.407242E+02,0.000000E+00
2.407242E+02,0.000000E+00
2.407242E+02,0.000000E+00
2.407242E+02,0.000000E+00
